Open Time,Open,High,Low,Close,Volume,Quote Asset Volume
2023-11-21,56.6030,57.4110,51.2000,51.6820,54102492,2959068692.3360
2023-11-22,51.6840,58.9230,51.4790,57.5790,36385358,2016123471.4500
2023-11-23,57.5750,59.6880,56.1210,56.5370,28977898,1671040805.6850
2023-11-24,56.5390,58.8400,56.1960,56.8690,23562196,1357558047.6200
2023-11-25,56.8690,59.8690,55.6300,58.8300,21994291,1285781111.0690
2023-11-26,58.8300,59.0640,56.1000,57.5930,19194071,1106335621.3800
2023-11-27,57.5930,58.1100,53.4120,55.0300,28787690,1591700986.9180
2023-11-28,55.0300,58.6700,53.9230,58.1830,28476261,1605329671.3440
2023-11-29,58.1840,61.7990,57.7440,59.3240,34572769,2070136566.6450
2023-11-30,59.3240,61.7620,58.7380,59.3090,26126998,1567025717.0890
2023-12-01,59.3090,61.9370,58.5850,59.7500,28582330,1730472334.0720
2023-12-02,59.7490,63.9540,59.6700,63.6840,25070948,1556209243.5470
2023-12-03,63.6840,65.6220,62.2340,63.0150,24796411,1579060258.0700
2023-12-04,63.0200,65.3400,59,61.6710,36503268,2278288979.1810
2023-12-05,61.6710,62.6610,59.1040,61.0610,29147610,1769448911.5550
2023-12-06,61.0580,66.7970,61.0480,61.8780,46533462,2963315502.9610
2023-12-07,61.8780,69.5460,61.6570,67.8060,42616421,2774061455.0240
2023-12-08,67.8070,75.4600,67.8060,74.9800,43934782,3166430223.1410
2023-12-09,74.9790,77.8790,71.4720,72.3680,35549685,2674281736.7490
2023-12-10,72.3700,74.9610,70.7280,74.9070,23789917,1736343648.5940
2023-12-11,74.9040,75.0240,63.5010,70.2860,49937701,3470107802
2023-12-12,70.2820,72.4790,65.7890,68.6440,31474825,2191222766.8890
2023-12-13,68.6350,72.6660,63.6400,70.6680,31564908,2135279555.4580
2023-12-14,70.6690,76.3150,67,75.7510,32617464,2362090365.8850
2023-12-15,75.7510,79.6790,72.1660,72.5520,35683703,2717438061.6840
2023-12-16,72.5580,77.2400,71.2200,73.7370,21559021,1607075724.6090
2023-12-17,73.7360,75.1490,70.5510,70.9020,21020260,1533712101.1220
2023-12-18,70.9020,75.5150,66.8510,74.4290,30396194,2145130119.8140
2023-12-19,74.4280,76.3840,71.8000,73.0400,24638427,1832596478.5600
2023-12-20,73.0300,84.1900,72.9820,82.2430,42091362,3322490086.5000
2023-12-21,82.2430,95.8170,81.0500,93.9270,46777766,4140742197.8990
2023-12-22,93.9290,99.7330,90.5120,97.9620,47249988,4511664714.6950
2023-12-23,97.9620,110.3880,92.8800,107.9650,37733610,3775177220.7070
2023-12-24,107.9660,118.7000,107.3500,112.5710,55154913,6220563504.9280
2023-12-25,112.5720,126.9380,108.0000,120.9420,48279195,5675387118.6780
2023-12-26,120.9470,121.4570,102.3300,112.5430,52112269,5840420473.6940
2023-12-27,112.5330,115.5000,104.8320,107.0950,39570935,4350174118.6130
2023-12-28,107.0890,109.8260,97.3200,101.9130,44966162,4603299026.0260
2023-12-29,101.9140,110.1980,99.5140,106.2250,41688164,4411633771.3630
2023-12-30,106.2350,107.6510,100.6980,101.9710,20780463,2150722565.8540
2023-12-31,101.9740,105.3380,99.6350,101.7780,18960751,1951400777.0980
2024-01-01,101.7750,110.0780,101.5300,110.0470,18991982,2000264851.6740
2024-01-02,110.0540,117.1000,106.1000,106.8300,35086492,3916016801.0380
2024-01-03,106.8280,109.9500,83.5100,98.5190,54004295,5420413587.3910
2024-01-04,98.5190,108.3000,96.5880,104.9750,29071370,2961665552.8030
2024-01-05,104.9610,105.5460,95.0000,99.8740,29424332,2939589836.7540
2024-01-06,99.8740,100.2770,91.3980,93.7990,24620579,2340656577.2440
2024-01-07,93.7980,96.7640,87.5000,89.4140,25163821,2346746941.6080
2024-01-08,89.4140,99.9150,85.1000,97.9010,40881349,3804836832.7920
2024-01-09,97.9000,108.0000,95.2570,99.3470,45818730,4575056371.2380
2024-01-10,99.3470,105.5800,92.1220,102.0630,39490104,3850020241.4230
2024-01-11,102.0670,107.3410,97.6000,99.9280,38090107,3887536714.5930
2024-01-12,99.9270,100.5340,85.8000,92.1530,30999486,2961483416.1100
2024-01-13,92.1480,97.0680,89.5000,95.8360,18417475,1713689924.9390
2024-01-14,95.8360,102.9490,93.5990,93.8300,26381615,2580167646.2310
2024-01-15,93.8290,97.0000,93.0000,94.3590,16538422,1574370810.3390
2024-01-16,94.3600,98.8050,94.1870,97.6370,18098694,1750661194.5920
2024-01-17,97.6370,102.8640,96.6300,102.1550,32985152,3304348090.9290
2024-01-18,102.1550,103.6350,91.3590,94.3890,30810082,2997362844.1370
2024-01-19,94.3890,95.5000,87.0050,93.5960,31636549,2918901758.5450
2024-01-20,93.5960,94.2940,90.1760,92.9000,14290066,1317761139.7130
2024-01-21,92.9010,93.9670,90.8000,91.1050,9997300,925652945.2810
2024-01-22,91.1110,91.9480,82.1000,83.8830,37607145,3269995391.9070
2024-01-23,83.8830,85.9670,78.9600,84.3250,39506666,3231229231.7260
2024-01-24,84.3250,89.3960,83.2940,88.7440,29644028,2556444055.3000
2024-01-25,88.7450,89.6250,85.1000,86.8860,23132645,2023078130.7790
2024-01-26,86.8850,93.7200,85.9550,92.2610,25577002,2313010043.1260
2024-01-27,92.2600,94.4800,90.6360,94.2380,14747490,1363453461.1190
2024-01-28,94.2370,99.4280,93.1550,95.9480,28824658,2778016166.2390
2024-01-29,95.9480,102.0350,95.0050,101.6230,26434409,2603458499.4520
2024-01-30,101.6220,106.5000,100.8930,101.3710,30149576,3133393737.8760
2024-01-31,101.3720,102.7190,95.8370,96.9120,36561334,3649654601.9090
2024-02-01,96.9100,98.1300,93.1000,97.7750,27380523,2621129056.6180
2024-02-02,97.7760,102.5730,97.3350,100.5590,25403611,2539905942.2520
2024-02-03,100.5480,101.2000,96.6020,97.9150,12932890,1275146546.2900
2024-02-04,97.9140,98.5550,95.0000,95.4510,14378621,1394832872.0340
2024-02-05,95.4520,98.6590,94.1020,95.6050,20080020,1934972780.4390
2024-02-06,95.6000,97.8690,93.1160,96.8560,21016865,2004346015.6030
2024-02-07,96.8560,101.6220,94.5600,101.1350,19550319,1903435768.2070
2024-02-08,101.1360,104.9740,100.5000,102.7420,22978451,2357154660.0640
2024-02-09,102.7420,109.2300,102.7280,106.9210,26650167,2813547710.6830
2024-02-10,106.9200,110.8390,106.8600,108.9760,18329718,1995634767.8830
2024-02-11,108.9760,110.7570,107.2020,107.4710,15028326,1636852397.3340
2024-02-12,107.4710,112.3330,103.3820,111.7370,29003122,3124225412.3700
2024-02-13,111.7370,115.3330,108.3010,112.5390,28488321,3200003805.3280
2024-02-14,112.5390,118.8370,110.7130,117.0920,22722714,2622802672.3180
2024-02-15,117.0920,118.4900,111.6000,113.5980,24792744,2854753699.5460
2024-02-16,113.5970,114.3620,108.0000,110.3920,20969017,2327941635.0590
2024-02-17,110.3930,111.1630,105.5510,109.0080,16650647,1805302041.3240
2024-02-18,109.0090,114.1770,107.5020,112.3450,16186248,1803552249.7320
2024-02-19,112.3440,115.0220,110.7850,111.6580,20165574,2274281611.1350
2024-02-20,111.6570,112.2420,102.6250,108.4180,26511474,2871434339.7680
2024-02-21,108.4170,108.5000,100.2550,105.1130,23820780,2474344126.2960
2024-02-22,105.1170,107.1640,101.5550,101.8050,19514784,2040309703.1070
2024-02-23,101.8040,103.2000,98.6740,99.9730,19098514,1935554211.4570
2024-02-24,99.9730,104.9300,98.5000,104.1140,13661777,1394047277.2970
2024-02-25,104.1130,104.5540,102.0330,103.5690,12334897,1273626561.6980
2024-02-26,103.5700,110.9690,100.3500,110.0340,28990706,3063490102.4480
2024-02-27,110.0330,112.5100,105.3600,108.4500,27904505,3060566759.5540
2024-02-28,108.4510,119.4970,104.6000,119.4250,50030857,5631865001.5420
2024-02-29,119.4210,134.8350,117.3780,125.7690,50987060,6491162225.5960
2024-03-01,125.7700,137.9960,125.6400,129.4560,32349389,4301647726.1510
2024-03-02,129.4670,131.9360,127.2000,130.1840,20407930,2636182711.8390
2024-03-03,130.1840,132.3860,123.0530,130.3040,23298629,3007564794.4540
2024-03-04,130.3040,135.2190,127.3000,133.4500,29856218,3912825216.1120
2024-03-05,133.4450,143.1430,103.9900,125.3580,62284980,8077161701.9640
2024-03-06,125.3590,135.1210,120.0900,130.9160,30571774,3940577353.8460
2024-03-07,130.9160,149.6310,130.6060,143.9970,38004489,5399451920.6690
2024-03-08,143.9990,152.9000,141.5000,144.8790,28171739,4136545894.5890
2024-03-09,144.8800,149.3080,143.5030,144.4240,11688254,1710036991.4230
2024-03-10,144.4300,148.7000,140.5000,144.4970,15908571,2308607711.3540
2024-03-11,144.5010,150.6120,136.3710,149.0620,25577374,3724116713.4320
2024-03-12,149.0620,155.3000,141.6000,151.2010,34711507,5204430271.0090
2024-03-13,151.2020,166.9670,148.8890,164.0550,27237415,4247706092.3330
2024-03-14,164.0550,178.7000,159.2880,176.8510,42616134,7177460134.8200
2024-03-15,176.8520,189.2500,164.6750,184.1550,69094817,12287766596.6920
2024-03-16,184.1560,198.2690,176.9230,182.1840,46854401,8800331159.3120
2024-03-17,182.1820,205.0000,178.6500,201.9620,35993655,6852051317.0970
2024-03-18,201.9600,210.4250,194.0290,196.1430,38804988,7851546049.3140
2024-03-19,196.1430,198.8750,166.1800,169.9170,58583474,10587970679.3620
2024-03-20,169.9160,193.3900,162.4530,191.9160,44075337,7719545338.1570
2024-03-21,191.9070,195.9330,176.0000,179.5350,28916421,5405152906.5410
2024-03-22,179.5350,182.0520,167.7000,175.2570,24379418,4241878307.5640
2024-03-23,175.2570,179.2630,170.5550,172.7250,16018367,2807963215.9640
2024-03-24,172.7260,186.8870,171.3940,184.0190,15548952,2749926455.0400
2024-03-25,184.0180,194.6990,181.1330,189.1810,21056249,3984608607.2760
2024-03-26,189.1650,196.8080,186.3000,190.6230,18543450,3559426350.5230
2024-03-27,190.6210,193.0000,180.2900,186.4480,19973608,3717961826.9440
2024-03-28,186.4470,191.1800,181.0250,189.8520,15469932,2881555378.0660
2024-03-29,189.8560,193.2460,183.5470,192.2000,15273845,2865499338.2800
2024-03-30,192.2000,200.4000,190.8610,194.3510,15200451,2981580558.1860
2024-03-31,194.3510,203.4590,193.8340,202.6780,11636563,2300585521.0310
2024-04-01,202.6850,204.7550,186.7110,192.3550,21467500,4189576773.5980
2024-04-02,192.3550,192.4150,176.0110,181.6790,25288312,4618705920.7360
2024-04-03,181.6710,191.9760,177.0120,185.1730,21048096,3936407128.6590
2024-04-04,185.1790,190.2950,180.3300,184.1230,15182723,2813652630.2830
2024-04-05,184.1240,185.3240,168.1000,174.4500,21718053,3796859561.4350
2024-04-06,174.4510,180.0000,173.6000,178.7680,15224983,2692262508.5110
2024-04-07,178.7690,182.7890,176.9580,179.6150,13222268,2383742372.1740
2024-04-08,179.6150,184.7990,175.4010,180.8220,15077524,2722460115.0660
2024-04-09,180.8210,181.0840,169.0800,172.5580,16750977,2930389265.6780
2024-04-10,172.5580,175.6110,162.2900,173.4380,20510524,3478839455.0430
2024-04-11,173.4380,176.4800,170.1710,172.4970,16183442,2806590551.6720
2024-04-12,172.4960,176.1200,140.0000,153.1620,27967843,4473787543.3540
2024-04-13,153.1570,154.9870,112.9170,138.4670,53895344,7450940821.5590
2024-04-14,138.4670,152.8620,130.4450,151.1870,37605050,5268414289.7730
2024-04-15,151.1860,156.0480,133.5500,138.4420,30409525,4410841800.9490
2024-04-16,138.4420,140.5120,126.3920,136.1830,31626915,4221174920.2450
2024-04-17,136.1840,142.6220,126.8120,131.7810,35688047,4792676716.3380
2024-04-18,131.7820,143.8800,127.5140,141.9570,31116890,4211664043.9330
2024-04-19,141.9580,147.4910,128.4010,142.4440,34094940,4789338274.1460
