Open Time,Open,High,Low,Close,Volume
2022-09-17 16:00:00,19951.70,20182.60,19926.00,20001.20,79403.517
2022-09-17 20:00:00,20001.10,20137.00,19930.00,20102.00,42059.269
2022-09-18 00:00:00,20102.00,20105.30,19938.40,19990.90,42846.441
2022-09-18 04:00:00,19991.00,20087.60,19941.60,20041.20,26556.607
2022-09-18 08:00:00,20041.30,20093.90,19750.10,19915.20,98907.568
2022-09-18 12:00:00,19915.20,20019.00,19707.00,19804.50,91600.816
2022-09-18 16:00:00,19804.40,19869.90,19556.70,19715.60,125781.740
2022-09-18 20:00:00,19715.50,19742.50,19325.80,19404.50,114223.302
2022-09-19 00:00:00,19404.50,19507.00,18655.00,18766.20,163689.789
2022-09-19 04:00:00,18766.20,18863.90,18215.00,18459.60,175552.280
2022-09-19 08:00:00,18459.70,18788.00,18360.00,18672.60,120769.619
2022-09-19 12:00:00,18672.60,19424.40,18665.00,19071.10,257844.368
2022-09-19 16:00:00,19071.10,19572.10,18868.20,19504.70,169575.881
2022-09-19 20:00:00,19504.70,19686.30,19408.00,19528.60,106344.415
2022-09-20 00:00:00,19528.60,19625.00,19148.40,19353.70,92307.733
2022-09-20 04:00:00,19353.80,19581.50,19223.00,19349.90,93723.273
2022-09-20 08:00:00,19349.90,19417.60,19148.20,19209.60,95198.489
2022-09-20 12:00:00,19209.60,19256.90,18759.70,19225.60,250377.906
2022-09-20 16:00:00,19225.70,19316.70,18690.10,18985.20,195711.780
2022-09-20 20:00:00,18985.30,19087.50,18777.60,18866.80,67304.751
2022-09-21 00:00:00,18866.70,19050.00,18824.90,19011.80,51612.643
2022-09-21 04:00:00,19011.70,19123.00,18784.20,18938.80,89008.670
2022-09-21 08:00:00,18938.70,19198.00,18811.40,19155.60,92042.006
2022-09-21 12:00:00,19155.50,19476.20,19077.00,19182.50,191477.797
2022-09-21 16:00:00,19182.60,20154.10,18343.00,18990.30,519529.590
2022-09-21 20:00:00,18990.30,19063.90,18084.30,18447.50,224398.273
2022-09-22 00:00:00,18447.50,18777.60,18345.20,18677.60,111993.338
2022-09-22 04:00:00,18677.70,18962.10,18610.10,18923.80,107802.202
2022-09-22 08:00:00,18923.80,19279.20,18897.30,19220.10,173819.785
2022-09-22 12:00:00,19220.00,19310.00,18782.70,18975.50,212238.703
2022-09-22 16:00:00,18975.50,19483.10,18767.60,19304.20,161690.371
2022-09-22 20:00:00,19304.20,19504.80,19150.00,19392.50,85353.992
2022-09-23 00:00:00,19392.50,19459.60,19218.00,19384.00,65865.255
2022-09-23 04:00:00,19384.00,19492.00,19191.10,19216.40,67577.698
2022-09-23 08:00:00,19216.50,19265.40,18828.00,18854.50,141674.976
2022-09-23 12:00:00,18854.40,19063.20,18518.50,18704.40,250866.281
2022-09-23 16:00:00,18704.40,18840.70,18561.10,18798.70,172798.304
2022-09-23 20:00:00,18798.30,19398.00,18791.20,19280.70,139711.232
2022-09-24 00:00:00,19280.70,19304.50,19020.00,19113.30,76246.033
2022-09-24 04:00:00,19113.40,19177.00,18914.40,18985.60,56593.805
2022-09-24 08:00:00,18985.60,19113.00,18931.80,19044.70,56140.750
2022-09-24 12:00:00,19044.80,19217.00,19000.90,19115.20,71862.120
2022-09-24 16:00:00,19115.20,19187.80,19042.50,19093.00,40480.895
2022-09-24 20:00:00,19093.00,19140.80,18798.00,18911.00,75834.612
2022-09-25 00:00:00,18910.90,19052.00,18902.10,19044.50,38381.521
2022-09-25 04:00:00,19044.40,19121.90,18929.20,19089.20,41130.612
2022-09-25 08:00:00,19089.10,19196.00,18973.50,19108.00,47830.036
2022-09-25 12:00:00,19108.10,19135.00,18834.00,18978.30,93704.479
2022-09-25 16:00:00,18978.40,19115.90,18856.00,18906.50,93131.352
2022-09-25 20:00:00,18906.60,18943.00,18621.00,18799.70,96283.603
2022-09-26 00:00:00,18799.70,18939.70,18711.90,18862.70,82968.714
2022-09-26 04:00:00,18862.70,18924.10,18671.00,18902.30,96944.908
2022-09-26 08:00:00,18902.30,19311.50,18795.70,18864.70,220632.771
2022-09-26 12:00:00,18864.70,19273.10,18808.00,19103.90,206037.034
2022-09-26 16:00:00,19103.80,19255.00,18958.60,19191.00,113652.801
2022-09-26 20:00:00,19190.90,19245.50,19061.80,19216.30,57571.290
2022-09-27 00:00:00,19216.30,20296.10,19182.00,20091.90,270740.855
2022-09-27 04:00:00,20092.00,20368.00,19951.10,20174.20,145136.381
2022-09-27 08:00:00,20174.20,20332.00,20084.00,20221.10,105721.859
2022-09-27 12:00:00,20221.00,20375.00,19860.40,19885.30,224079.253
2022-09-27 16:00:00,19885.30,19948.10,18801.50,19068.70,467957.321
2022-09-27 20:00:00,19068.70,19159.20,18911.70,19070.10,86930.489
2022-09-28 00:00:00,19070.10,19228.30,18460.00,18736.00,201932.428
2022-09-28 04:00:00,18736.00,18870.80,18610.30,18770.60,104608.563
2022-09-28 08:00:00,18770.50,19140.00,18558.60,18947.60,232626.610
2022-09-28 12:00:00,18947.60,19496.60,18929.60,19477.90,273882.698
2022-09-28 16:00:00,19477.90,19667.00,19250.00,19534.70,221849.648
2022-09-28 20:00:00,19534.70,19787.60,19380.50,19407.30,106322.825
2022-09-29 00:00:00,19407.40,19596.00,19271.00,19497.30,97147.935
2022-09-29 04:00:00,19497.40,19620.00,19259.40,19353.10,111116.926
2022-09-29 08:00:00,19353.20,19537.00,19294.00,19454.30,104599.328
2022-09-29 12:00:00,19454.20,19467.10,18827.20,19280.70,365642.863
2022-09-29 16:00:00,19280.70,19648.80,19114.20,19399.30,245462.904
2022-09-29 20:00:00,19399.30,19620.00,19373.50,19582.50,67708.268
2022-09-30 00:00:00,19582.50,19698.60,19305.00,19394.00,104286.782
2022-09-30 04:00:00,19394.00,19633.60,19381.80,19560.80,78385.946
2022-09-30 08:00:00,19560.80,19625.00,19383.90,19430.30,83071.687
2022-09-30 12:00:00,19430.30,20172.70,19066.00,19749.40,448282.047
2022-09-30 16:00:00,19749.50,19865.20,19457.00,19467.00,229282.837
2022-09-30 20:00:00,19466.80,19531.40,19222.90,19411.70,128153.635
2022-10-01 00:00:00,19411.60,19474.00,19338.00,19408.00,41953.673
2022-10-01 04:00:00,19408.00,19412.60,19254.90,19305.50,53323.626
2022-10-01 08:00:00,19305.50,19358.60,19140.00,19304.20,61805.766
2022-10-01 12:00:00,19304.30,19396.50,19230.30,19322.80,54809.529
2022-10-01 16:00:00,19322.90,19345.00,19200.00,19257.00,52287.761
2022-10-01 20:00:00,19257.00,19332.00,19190.40,19304.00,30276.654
2022-10-02 00:00:00,19304.00,19338.80,19225.80,19301.20,29989.242
2022-10-02 04:00:00,19301.20,19389.00,19213.60,19276.50,53818.320
2022-10-02 08:00:00,19276.50,19292.90,19025.00,19180.90,97677.512
2022-10-02 12:00:00,19181.00,19239.60,19060.00,19137.50,60035.509
2022-10-02 16:00:00,19137.10,19339.20,19121.90,19253.60,60304.973
2022-10-02 20:00:00,19253.60,19292.70,18896.00,19049.40,113144.895
2022-10-03 00:00:00,19049.30,19250.00,18950.80,19159.40,75723.076
2022-10-03 04:00:00,19159.40,19309.90,19054.10,19190.00,77211.692
2022-10-03 08:00:00,19190.00,19250.00,19116.30,19240.50,52350.240
2022-10-03 12:00:00,19240.50,19489.90,19126.80,19329.90,199685.964
2022-10-03 16:00:00,19330.00,19646.80,19300.10,19537.70,154201.700
2022-10-03 20:00:00,19537.80,19723.70,19503.70,19622.00,62643.657
2022-10-04 00:00:00,19621.90,19719.70,19480.10,19588.10,58416.008
2022-10-04 04:00:00,19588.00,19969.50,19546.40,19957.00,134730.279
2022-10-04 08:00:00,19957.00,20159.30,19805.40,19930.00,172341.010
2022-10-04 12:00:00,19930.00,20300.00,19899.10,20092.20,180082.997
2022-10-04 16:00:00,20092.20,20272.00,19871.00,20213.50,128713.939
2022-10-04 20:00:00,20213.60,20500.00,20142.30,20333.00,122394.529
2022-10-05 00:00:00,20332.90,20356.10,20136.60,20184.90,58837.835
